序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,,,,,
0,,,,,,,,,,,,,,,,
1,CM-0-1-1-1,质控医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,,,,,
2,CM-0-1-1-2,质控护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,,,,,
3,CM-0-1-1-3,主治医师,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,,,,,
4,CM-0-1-1-4,责任护士,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,,,,,
5,CM-0-1-1-5,上报科室,字符串,是,"例:""填写文字说明""",不能超过50个文字说明;,只允许填写中文汉字、字母、数字,,,,,,,,,
6,caseId,患者病案号,字符串,是,"例:""填写文字说明""",,,,,,,,,,,
7,IDCard,患者身份证号,字符串,是,"例:""填写文字说明""",身份证号不正确,,,,,,,,,,
8,CM-0-1-3-1,主要诊断ICD-10四位亚目编码与名称,字符串,是,"例:""a""",见,CM-0-1-3-1选择代码表,,,,,,,,,
9,CM-0-1-3-2,主要诊断ICD-10六位临床扩展编码与名称,字符串,是,"例:""UTD""",见,CM-0-1-3-2选择代码表,,,,,,,,,
10,CM-0-1-4-1,主要手术操作栏中提取ICD-9-CM-3四位亚目编码与名称,字符串,否,"例:""a""",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-1-4-1选择代码表,,,,,,,,
11,CM-0-1-4-2,主要手术操作栏中提取ICD-9-CM-3六位临床扩展编码与名称,字符串,否,"例:""UTD""",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-1-4-2选择代码表,,,,,,,,
12,CM-0-1-5,是否为出院后31天内非计划重复住院,字符串,是,"例:""y""",见,CM-0-1-5选择代码表,,,,,,,,,
13,CM-0-2-1-1,出生日期,字符串,是,"例:""1970-01-01""",,,,,,,,,,,
14,CM-0-2-1-2,患者性别,字符串,是,"例:""M""",见,CM-0-2-1-2选择代码表,,,,,,,,,
15,CM-0-2-1-3,患者体重（kg）,数值,是,例:10,患者体重应大于等于0,,,,,,,,,,
16,CM-0-2-1-5,患者身高（cm）,数值,是,例:10,患者身高应大于等于0,,,,,,,,,,
17,CM-0-2-2-1,发病日期时间是否无法确定或无记录,数组,否,"例:[""UTD""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-0-2-2-1选择代码表,,,,,,,,
18,CM-0-2-2-2,发病日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","发病日期时间是否无法确定或无记录(CM-0-2-2-1)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,,,
19,CM-0-2-3-2,到达本院急诊或者门诊日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,,,,,,,
20,CM-0-2-4-1,入院日期时间,字符串,是,"例:""1970-01-01 12:00""",,,,,,,,,,,
21,CM-0-2-4-2,出院日期时间,字符串,是,"例:""1970-01-01 12:00""",出院日期时间应大于入院日期时间;,住院时间应大于24小时,,,,,,,,,
22,CM-0-2-5-1,入住CCU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,,,,,,,,,,
23,CM-0-2-5-2,离开CCU日期时间,字符串,否,"例:""1970-01-01 12:00""",若该字段无相应取值，则接口中不必提交该字段,离开ICU日期时间应大于入住ICU日期时间,,,,,,,,,
24,CM-0-3-1,费用支付方式,字符串,是,"例:""a""",见,CM-0-3-1选择代码表,,,,,,,,,
